time,run_id,scenario,cycle,segment,phase,layer,item,axis,q,omega,accel,torque,carrying,source_file
169.25,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor1,1.99374942e-05,-0.00021803674,-8.98369048e-05,-1.65812304,1,long_live_01.jsonl
169.25,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor2,0.417964437,0.148004345,-0.136679047,1943.67003,1,long_live_01.jsonl
169.25,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor3,-0.273649161,0.104198879,-0.0959884413,975.863588,1,long_live_01.jsonl
169.25,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor4,-2.51372441e-05,-0.00134496012,-0.000173784802,-9.99828044e-05,1,long_live_01.jsonl
169.4,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor1,-1.05541639e-05,-3.14601287e-05,0.00124384407,-1.87718922,1,long_live_01.jsonl
169.4,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor2,0.434770326,0.0314666515,-0.776917958,1908.71725,1,long_live_01.jsonl
169.4,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor3,-0.261506651,0.00762762786,-0.643808344,859.08022,1,long_live_01.jsonl
169.4,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor4,-6.67060325e-05,0.000546525237,0.0126099024,-0.000634834868,1,long_live_01.jsonl
169.6,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor1,9.96096631e-05,0.000386544832,0.00209002481,8.30991937,1,long_live_01.jsonl
169.6,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor2,0.435568731,-0.00154165726,-0.165041544,1703.16037,1,long_live_01.jsonl
169.6,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor3,-0.259985469,0.000745086345,-0.0344127076,855.182831,1,long_live_01.jsonl
169.6,long_live_01,S0,1,5,move_to_pallet,4,water_bundle_2,motor4,-4.67234438e-05,-0.000831717445,-0.00689121341,-0.000377711059,1,long_live_01.jsonl
169.75,long_live_01,S0,1,6,place,4,water_bundle_2,motor1,0.000108032162,-4.61469633e-05,-0.00288461197,4.61054686,1,long_live_01.jsonl
169.75,long_live_01,S0,1,6,place,4,water_bundle_2,motor2,0.435510533,9.76364063e-05,0.0109286244,1673.56761,1,long_live_01.jsonl
169.75,long_live_01,S0,1,6,place,4,water_bundle_2,motor3,-0.255472347,0.0352826962,0.230250733,787.640214,1,long_live_01.jsonl
169.75,long_live_01,S0,1,6,place,4,water_bundle_2,motor4,-6.26839594e-05,0.000350387701,0.00788070097,-8.45257505e-05,1,long_live_01.jsonl
169.95,long_live_01,S0,1,6,place,4,water_bundle_2,motor1,6.47948948e-05,-0.000177397128,-0.000656250822,5.49962363,1,long_live_01.jsonl
169.95,long_live_01,S0,1,6,place,4,water_bundle_2,motor2,0.435782007,0.00138544181,0.00643902704,1687.40656,1,long_live_01.jsonl
169.95,long_live_01,S0,1,6,place,4,water_bundle_2,motor3,-0.217892621,0.151217648,0.579674758,851.306693,1,long_live_01.jsonl
169.95,long_live_01,S0,1,6,place,4,water_bundle_2,motor4,1.7926125e-06,0.000685888315,0.00167750307,-0.000738817035,1,long_live_01.jsonl
170.15,long_live_01,S0,1,6,place,4,water_bundle_2,motor1,3.78836136e-06,-9.77733556e-05,0.00039811886,4.93017786,1,long_live_01.jsonl
170.15,long_live_01,S0,1,6,place,4,water_bundle_2,motor2,0.436308444,0.000376947546,-0.00504247134,1716.36401,1,long_live_01.jsonl
170.15,long_live_01,S0,1,6,place,4,water_bundle_2,motor3,-0.174601449,0.0155679789,-0.678248345,919.042076,1,long_live_01.jsonl
170.15,long_live_01,S0,1,6,place,4,water_bundle_2,motor4,-7.39046936e-05,-0.000200103885,-0.004429961,-4.65958378e-05,1,long_live_01.jsonl
170.45,long_live_01,S0,1,6,place,4,water_bundle_2,motor1,7.30335036e-05,0.00100759996,0.00368457771,-7.78805014,1,long_live_01.jsonl
170.45,long_live_01,S0,1,6,place,4,water_bundle_2,motor2,0.436249708,-0.000946780806,-0.00441242784,1706.27176,1,long_live_01.jsonl
170.45,long_live_01,S0,1,6,place,4,water_bundle_2,motor3,-0.172767865,0.000965243805,-0.0486757836,873.801138,1,long_live_01.jsonl
170.45,long_live_01,S0,1,6,place,4,water_bundle_2,motor4,-1.97634448e-05,-0.000917462313,-0.00239119476,0.00079642658,1,long_live_01.jsonl
170.6,long_live_01,S0,1,6,place,4,water_bundle_2,motor1,0.000125547535,5.19220694e-05,-0.00637118592,5.742722,1,long_live_01.jsonl
170.6,long_live_01,S0,1,6,place,4,water_bundle_2,motor2,0.436052424,-0.000335917839,0.00407241978,1690.85875,1,long_live_01.jsonl
170.6,long_live_01,S0,1,6,place,4,water_bundle_2,motor3,-0.172580786,0.000410982969,-0.00369507224,850.740498,1,long_live_01.jsonl
170.6,long_live_01,S0,1,6,place,4,water_bundle_2,motor4,-7.94490208e-05,-7.77282748e-05,0.00559822692,-5.55232923e-05,1,long_live_01.jsonl
170.75,long_live_01,S0,1,6,place,4,water_bundle_2,motor1,0.00012750777,6.49187903e-07,-0.00034181921,5.25848842,1,long_live_01.jsonl
170.75,long_live_01,S0,1,6,place,4,water_bundle_2,motor2,0.436037534,-4.96170083e-06,0.00220637426,1694.06383,1,long_live_01.jsonl
170.75,long_live_01,S0,1,6,place,4,water_bundle_2,motor3,-0.172563067,1.75352142e-06,-0.00272819632,850.028553,1,long_live_01.jsonl
170.75,long_live_01,S0,1,6,place,4,water_bundle_2,motor4,-8.3272082e-05,-1.76107218e-06,0.000506448017,-1.75620139e-05,1,long_live_01.jsonl
170.95,long_live_01,S0,1,6,place,4,water_bundle_2,motor1,0.000119794125,-4.78681716e-05,-0.000242586797,4.82063915,1,long_live_01.jsonl
170.95,long_live_01,S0,1,6,place,4,water_bundle_2,motor2,0.436038144,3.17310109e-05,0.000183463559,1705.77366,1,long_live_01.jsonl
170.95,long_live_01,S0,1,6,place,4,water_bundle_2,motor3,-0.175844181,-0.0341697151,-0.170857343,924.04762,1,long_live_01.jsonl
170.95,long_live_01,S0,1,6,place,4,water_bundle_2,motor4,-7.71263115e-05,-1.53499137e-05,-6.79442076e-05,0,1,long_live_01.jsonl
