run_id,scenario,cycle,phase,axis,sample_count,time_start,time_end,duration,torque_mean,torque_max,torque_std,torque_rms,omega_max,accel_rms,energy,torque_slope
long_live_01,S0,10,move_to_pallet,motor3,165,1672.6,1845.05,172.45,793.676382,1037.88047,110.949704,801.34726,0.817282735,0.604728167,16446.9406,-0.117209997
long_live_01,S0,10,move_to_pallet,motor4,165,1672.6,1845.05,172.45,9.13629552e-05,0.054963578,0.0109469739,0.0109141333,0.0942462145,0.0648322536,0.0101782728,0.000162321447
long_live_01,S0,10,pallet_arrived,motor1,3,1664.85,1665.25,0.4,1.31599402,3.01407056,2.25346138,2.26213006,0.000305662707,0.00130626441,9.27140715e-05,2.09908532
long_live_01,S0,10,pallet_arrived,motor2,3,1664.85,1665.25,0.4,622.072963,634.53073,15.967246,622.209562,0.000295746968,0.000942426956,0.0394607601,-58.8549
long_live_01,S0,10,pallet_arrived,motor3,3,1664.85,1665.25,0.4,846.213115,856.729926,9.66263452,846.249893,0.00831942635,0.0203768482,2.7495004,-16.135385
long_live_01,S0,10,pallet_arrived,motor4,3,1664.85,1665.25,0.4,0.00223016972,0.00669050916,0.00386276726,0.00386276726,0.000259971002,0.00150252776,2.6948461e-07,0.0167262729
long_live_01,S0,10,pallet_outfeed,motor1,11,1849.25,1851.7,2.45,2.18284775,2.26309722,0.0266183765,2.18299529,3.3477332e-06,0.00125244883,1.88192911e-06,-0.036081649
long_live_01,S0,10,pallet_outfeed,motor2,11,1849.25,1851.7,2.45,627.589088,627.651907,0.207157958,627.589119,3.45637013e-05,0.00140792193,0.00538815849,0.280577959
long_live_01,S0,10,pallet_outfeed,motor3,11,1849.25,1851.7,2.45,854.445507,854.468571,0.00765022808,854.445507,5.91008042e-06,0.000597830863,0.00125405558,-0.0103689796
long_live_01,S0,10,pallet_outfeed,motor4,11,1849.25,1851.7,2.45,-1.93275104e-05,2.30297538e-05,1.22821661e-06,1.93629553e-05,7.77000908e-06,0.00262755284,4.4689263e-11,1.66609249e-06
long_live_01,S0,10,pallet_removed,motor1,1,1851.9,1851.9,0,2.17469718,2.17469718,0,2.17469718,0,0,0,0
long_live_01,S0,10,pallet_removed,motor2,1,1851.9,1851.9,0,627.651907,627.651907,0,627.651907,8.8817842e-14,0,0,0
long_live_01,S0,10,pallet_removed,motor3,1,1851.9,1851.9,0,854.443167,854.443167,0,854.443167,0,0,0,0
long_live_01,S0,10,pallet_removed,motor4,1,1851.9,1851.9,0,-1.89478272e-05,1.89478272e-05,0,1.89478272e-05,0,0,0,0
long_live_01,S0,10,pick,motor1,120,1668.15,1841.15,173,0.179250678,73.620395,14.3951863,14.3362015,0.00276595327,0.00284178656,0.771552435,0.0416233302
long_live_01,S0,10,pick,motor2,120,1668.15,1841.15,173,1574.44588,3046.448,704.602294,1723.71895,0.239964251,0.259502402,24272.5973,1.05953318
